from,to,distance
0,0,0.0
0,90,10.941706202679677
0,280,12.267603206446521
0,410,12.56805681100262
0,600,10.675100581502914
0,720,1.4216334219178481
0,770,6.493405407158055
0,980,7.9341122030586675
0,1,0.05891845627582433
0,2,0.11893862150475402
0,3,0.0573774467141004
0,99300,7.4321841030833244
10,10,0.0
10,20,4.403726552870541
10,30,11.630545782157
10,40,4.296209366217915
10,50,10.20628953882282
10,70,5.065964793459624
10,80,9.252241333488337
10,100,11.6490123028486
10,110,11.533310586388977
10,120,4.733111193132977
10,140,8.804622025704347
10,150,5.339907858493308
10,160,3.6852533365539686
10,170,4.503208522041172
10,190,10.56977883434795
10,210,7.000915858039939
10,220,5.495389059536295
10,230,7.370764188742456
10,240,8.350854459026905
10,250,1.6568894387533104
10,260,2.8648652519375575
10,270,9.13685413294185
10,290,9.718174041468298
10,300,5.684005138929293
10,310,5.127815463964324
10,320,1.4284205615496293
10,330,8.59079091465907
10,340,2.8493902411136647
10,350,8.849105353878691
10,360,9.730945939472809
10,380,7.1432766552911575
10,390,5.884519999547351
10,400,11.18448382535881
10,430,10.888072634213021
10,460,4.525879075517667
10,470,7.486436782658508
10,480,2.718761171283302
10,490,2.853893310603907
10,500,9.57069809279911
10,510,9.301195178703725
10,520,3.6275217763775007
10,530,5.945347268205034
10,540,12.237027088080435
10,550,3.099080076316974
10,560,5.5308294082565235
10,570,7.245661382475776
10,580,6.150555189230962
10,590,9.93534880566464
10,610,10.528535209156736
10,620,1.6045817105958946
10,630,10.839915633783388
10,640,11.095145983839183
10,650,9.861293150137232
10,660,6.325046286644443
10,670,12.306560928479884
10,680,11.721109323576448
10,690,7.2678462776406185
10,700,1.3785936832202048
10,730,7.581786579477102
10,740,4.103706854326657
10,750,4.476401800467159
10,760,9.002769652503813
10,780,7.498892255587657
10,790,5.888239006378581
10,800,5.4136159630378735
10,810,2.4210505047627233
10,820,6.855452040192271
10,830,2.7975058231829357
10,840,5.68156542112636
10,850,9.312317096356436
10,860,1.498768397565078
10,870,8.063468757832926
10,880,11.99678065100119
10,890,10.27695857025483
10,900,3.463390423856066
10,920,6.838323593856406
10,930,3.436592396585926
10,950,9.347513334106875
10,990,4.348491457892633
10,11,0.05133901488150013
10,12,0.06050621232438519
10,13,0.02961274253374792
10,99300,29.86844373800728
20,10,4.403726552870541
20,20,0.0
20,30,10.110006736594846
20,40,8.616903485303762
20,50,9.447937750487965
20,70,7.108002108643991
20,100,7.962366313528362
20,120,4.429295796999606
20,140,10.805380322227393
20,150,6.860009497905959
20,160,1.6793072603940797
20,170,8.281367094064473
20,210,11.216707494079246
20,220,3.5444942219763838
20,230,8.783169855676064
20,240,6.032034560965344
20,250,6.006238022144858
20,260,5.718097698492407
20,270,5.759819547714533
20,280,11.541143782799843
20,300,3.6544627996868573
20,310,9.400231031171415
20,320,3.0569564556498308
20,330,6.130026477855752
20,340,1.8108951918576957
20,350,4.9122370674638605
20,360,10.946976237625314
20,380,11.484495117409784
20,390,8.74116365142591
20,400,9.113466650534045
20,430,6.756897948414696
20,460,1.7371112501788502
20,470,7.5041446045699205
20,480,7.003759536416946
20,490,6.761071845381804
20,500,9.63794735417005
20,510,7.875885307849992
20,520,6.598742548885374
20,530,1.5421323144893317
20,550,3.0186360172341162
20,560,9.921822780167597
20,570,11.356634221280418
20,580,9.981973719568265
20,610,7.670682722403848
20,620,3.3126096060438948
20,640,8.883792995849266
20,660,2.6853757732935626
20,680,10.256076394271492
20,690,7.201381025621605
20,700,4.570381994862182
20,730,11.978132450952701
20,740,7.160361407237901
20,750,5.3771501399639705
20,780,11.218166099632933
20,790,9.974579184033269
20,800,1.9542393943467589
20,810,2.116927741471011
20,820,9.44504539118728
20,830,3.497328221263029
20,840,9.016661914556567
20,850,8.139010867892251
20,860,5.500756365372476
20,870,9.955064202679086
20,880,7.7971512693913345
20,890,10.691703712631083
20,900,7.347573760327856
20,920,5.692360868912157
20,930,7.811402609147157
20,940,9.502142150400434
20,990,4.800100934123534
20,21,0.09080167065788575
20,22,0.029768661716744953
20,23,0.12509662319808543
20,99300,29.764564056013004
30,10,11.630545782157
30,20,10.110006736594846
30,30,0.0
30,70,8.23824156577186
30,90,8.427185450474553
30,120,6.8996173328646595
30,140,8.340209967415536
30,160,11.632711074996298
30,170,11.534420502185434
30,190,11.07773003123643
30,230,6.867321932127553
30,240,4.17027655884639
30,250,12.126261297322133
30,260,9.71119077829182
30,280,2.60279029241022
30,300,6.535377151173904
30,320,10.632744896106981
30,340,9.788456890748897
30,360,6.61428491218757
30,370,8.602679282682056
30,410,6.350455208716503
30,460,8.454383224430225
30,490,11.34028298042923
30,500,3.952627488859853
30,530,9.944107004374334
30,540,10.220430857177668
30,580,12.410695179463612
30,600,5.2217052731437565
30,620,11.9633389751143
30,640,2.0102771685445178
30,660,7.777682325225038
30,690,4.784092962288393
30,700,10.444751601350672
30,740,9.893680285105532
30,750,7.40847599286052
30,770,6.645347139373418
30,800,11.849051492085243
30,810,11.133701910113437
30,820,9.290222229310293
30,830,8.857910840273812
30,840,10.776368131543553
30,850,2.3390600519050073
30,880,9.085238389683258
30,980,6.28589465314649
30,31,0.10581407547508573
30,32,0.07118517276322876
30,33,0.048109516113609134
30,99300,19.970838636640043
40,10,4.296209366217915
40,20,8.616903485303762
40,40,0.0
40,50,11.518702585377941
40,70,7.126472287821062
40,80,6.114896041845932
40,110,8.289459440692504
40,120,8.430631478823095
40,140,9.865393840754688
40,150,5.93644837857809
40,160,7.559029031218524
40,170,4.340239857452679
40,190,10.476531463251703
40,210,2.7564328516877072
40,220,8.666364441675078
40,230,9.318893650066128
40,240,12.3024416601637
40,250,3.045551258709008
40,260,5.33523302622264
40,270,12.515545848008857
40,290,5.558902357386217
40,300,9.763518787293034
40,310,2.938592652217074
40,320,5.724620553091986
40,330,11.436408463412787
40,340,7.1454436668720005
40,360,11.42492712704064
40,380,3.9184159077974767
40,390,4.429728573436443
40,460,8.807755676394581
40,470,8.69749321088865
40,480,1.6139713176013932
40,490,3.764343109081878
40,500,12.205497093726118
40,510,11.30128961657641
40,520,3.648193214710184
40,530,10.15160405611956
40,550,6.4609007757840216
40,560,1.4990257440447374
40,570,4.998724413540472
40,580,5.045035654834477
40,590,9.053542892411814
40,620,5.38375241935722
40,630,6.9840732765707925
40,650,6.516212153624361
40,660,10.61290156926054
40,670,10.365817259204638
40,690,10.322226804121465
40,700,4.895973598563557
40,730,3.484642710968129
40,740,5.4717370462493875
40,750,7.647736219363932
40,760,4.8065838642508565
40,780,4.016386118827364
40,790,1.9570850500025017
40,800,9.251932103515445
40,810,6.521682439477764
40,820,7.676580031203458
40,830,6.749733559655156
40,840,5.802963850452798
40,860,3.1545558884444973
40,870,7.154045714154361
40,890,10.496162571763817
40,900,1.9456171364926202
40,920,9.143827936018344
40,930,1.9169974551963442
40,950,5.593804745590394
40,960,10.365358035684004
40,970,9.838775268294947
40,990,6.506334411156169
40,41,0.045739488501436096
40,42,0.08985222792008656
40,43,0.09155699875243835
40,99300,31.691304131979713
50,10,10.20628953882282
50,20,9.447937750487965
50,40,11.518702585377941
50,50,0.0
50,100,7.757174623269308
50,110,11.449087021333614
50,130,8.684812730577484
50,150,5.585190166522943
50,160,8.084229970102419
50,200,5.0009036818964265
50,210,12.47986795971306
50,220,5.903459184261835
50,250,11.336090739903003
50,270,6.312521625178624
50,320,10.148243603842772
50,330,4.346166561651861
50,340,10.239127747706442
50,350,7.893205059222083
50,390,7.64556664981538
50,400,3.157164628990654
50,430,9.23474255939696
50,440,7.192391459255781
50,460,11.161255906499042
50,470,2.849239547597257
50,480,10.601448326348963
50,510,1.9176837057205334
50,520,7.923368680268927
50,530,9.69966086978515
50,550,7.492134552712703
50,610,5.012999095630805
50,620,8.83163145694184
50,650,10.991525969202867
50,660,11.822615880780312
50,680,2.0906690735473994
50,700,11.47641658597967
50,780,10.626279834174507
50,790,11.19907455074144
50,800,7.700923077731606
50,810,9.019355296250176
50,830,11.859044530923425
50,860,9.623814573166245
50,870,5.772797020066491
50,890,2.7883591166594823
50,900,9.604971064784479
50,920,3.771090607784552
50,930,12.390119053123083
50,940,6.454508556210524
50,970,10.849491460193855
50,990,5.859078446676136
50,51,0.03379775562040502
50,52,0.03580766434759992
50,53,0.024433194888207138
50,99300,39.1734899347347
60,60,0.0
60,100,6.388171579883803
60,220,12.320736543643024
60,270,8.692727308777553
60,330,10.499605170802118
60,350,8.183166996647316
60,400,10.956262197525845
60,420,2.319094594200519
60,430,6.059595385063118
60,510,12.382282119011096
60,530,11.117058545467733
60,610,9.05733918324009
60,660,11.979553883699124
60,800,11.531869866211206
60,880,7.951462441983173
60,910,1.624655441818811
60,940,7.709771009655239
60,61,0.11222612427496993
60,62,0.06750629667595748
60,63,0.14012017870512636
60,99300,35.79060263036195
70,10,5.065964793459624
70,20,7.108002108643991
70,30,8.23824156577186
70,40,7.126472287821062
70,70,0.0
70,80,8.534871123906763
70,120,3.3002161960969167
70,140,3.8471129756350764
70,150,10.391597208494195
70,160,7.563577779261108
70,170,3.296460022332065
70,190,6.160476720183117
70,210,9.605847970734398
70,220,9.831990190651585
70,230,2.344229131115462
70,240,6.656612228685119
70,250,4.637348898344286
70,260,2.2223729122250093
70,280,10.738584695134977
70,290,10.794894212463186
70,300,5.1606625838666735
70,310,5.391822783918772
70,320,5.04266995887751
70,340,5.454151306620259
70,350,11.988054206009528
70,360,4.681321960912997
70,380,7.262721920368681
70,390,10.512042557111274
70,460,5.832176404436433
70,470,12.508006846738137
70,480,6.322060941404638
70,490,3.3798233141497476
70,500,5.081310804912483
70,520,8.457174995780699
70,530,8.24181687430193
70,540,7.3825482656092305
70,550,7.708345891566948
70,560,7.421771425420399
70,570,6.1269172102264955
70,580,4.364273927252571
70,590,6.332844029690504
70,620,6.3187426159192945
70,630,10.987139335812836
70,640,8.543800715312642
70,660,7.1257892085938614
70,670,9.432142521732137
70,690,3.473523077765885
70,700,3.7103553150761095
70,730,8.905359569730674
70,740,1.6913833890649785
70,750,1.9500970891820668
70,760,11.601890685646387
70,770,11.902348792762869
70,780,11.12617947503417
70,790,9.082570610865558
70,800,8.926073287447098
70,810,6.320520957315165
70,820,2.3710406343332777
70,830,3.6434674166565175
70,840,2.7796844645082324
70,850,6.014113607286646
70,860,6.173342401144003
70,880,12.443527797261657
70,900,7.606916641991401
70,920,11.581666748401075
70,930,5.226664734715615
70,950,9.573490907099327
70,960,12.280022952898795
70,990,9.318242897361595
