bs,lat,lon,type,fog
0,13.289695260317462,111.21957693650793,fog,0
10,13.14535180588234,111.06668176470593,fog,10
20,13.12332173521127,111.10047672535211,fog,20
30,13.190209784057974,111.16372178260872,fog,30
40,13.157255227544907,111.02893435329345,fog,40
50,13.055363416853933,111.04811512359554,fog,50
60,13.037476777049175,111.17613339344263,fog,60
70,13.186032295876288,111.0877476391753,fog,70
80,13.209968146969695,111.01284072727275,fog,80
90,13.193632559259262,111.2414840123457,fog,90
100,13.05421054202899,111.11971815942027,fog,100
110,13.117746473333334,110.96401664444444,fog,110
120,13.162707087272727,111.10659611818181,fog,120
130,13.059843932142858,110.96806964285716,fog,130
140,13.22023251351352,111.09312044144143,fog,140
150,13.104966332307693,111.0399998,fog,150
160,13.118033906249993,111.08595112500001,fog,160
170,13.184811989908264,111.05732495412843,fog,170
180,13.256081444827588,110.96060672413795,fog,180
190,13.240052768181823,111.07511586363631,fog,190
200,13.039958084210527,111.00474187719297,fog,200
210,13.158856873394498,111.00352998165143,fog,210
220,13.097872712230211,111.08076788489204,fog,220
230,13.202304200980395,111.10151565686276,fog,230
240,13.158883292929298,111.14254361616159,fog,240
250,13.156938403821655,111.05706013375791,fog,250
260,13.169216047560973,111.07665436585363,fog,260
270,13.071632934939757,111.10394869879516,fog,270
280,13.184050380451122,111.18691593984964,fog,280
290,13.187494798245616,110.98804894736844,fog,290
300,13.150878565486725,111.11886763716818,fog,300
310,13.18212770074627,111.03810685820898,fog,310
320,13.14144403243244,111.07924825405402,fog,320
330,13.07023290166667,111.08522248333334,fog,330
340,13.137125834117649,111.09160337647056,fog,340
350,13.081732872807018,111.11577317543862,fog,350
360,13.221177488636362,111.11155538636363,fog,360
370,13.168411439473681,111.23996117105264,fog,370
380,13.191617009649127,111.02090862280707,fog,380
390,13.118397651612906,111.01991677419356,fog,390
400,13.045117976595748,111.07529729787231,fog,400
410,13.176673365957445,111.22070727659576,fog,410
420,13.043289255555557,111.19669340740744,fog,420
430,13.07081602413793,111.13188266666667,fog,430
440,13.039452687878788,110.98375833333331,fog,440
450,13.284623305882352,110.98437647058824,fog,450
460,13.137294366292137,111.10765137640445,fog,460
470,13.080942006976745,111.046552744186,fog,470
480,13.150526875539569,111.0421420143885,fog,480
490,13.170407682068964,111.06097033103448,fog,490
500,13.204924018421051,111.13048552631577,fog,500
510,13.061729466981125,111.0645688113208,fog,510
520,13.126136761290327,111.03960964516128,fog,520
530,13.11595436022728,111.11254168181821,fog,530
540,13.252148920000002,111.09396233333334,fog,540
550,13.11819190854271,111.07310395979898,fog,550
560,13.168663933,111.02155861,fog,560
570,13.201982094545459,111.03357592727274,fog,570
580,13.198032672972971,111.04936546846845,fog,580
590,13.234144724444443,111.05644311111108,fog,590
600,13.193990862499998,111.21179794999998,fog,600
610,13.054593066666673,111.09438749206348,fog,610
620,13.131572640506327,111.07108294936707,fog,620
630,13.206094328888884,110.98837196666669,fog,630
640,13.172202601886793,111.16537354716982,fog,640
650,13.1265360625,110.97768735714283,fog,650
660,13.132242721929826,111.12352103508769,fog,660
670,13.250454224000002,111.03106300000002,fog,670
680,13.040174317021275,111.0594903404255,fog,680
690,13.185284998749998,111.11982246250004,fog,690
700,13.15541925575757,111.07411241212117,fog,700
710,13.346808266666669,111.10735833333332,fog,710
720,13.295207643137248,111.20772372549015,fog,720
730,13.179047554945056,111.0058056813187,fog,730
740,13.181781672448976,111.07274727551022,fog,740
750,13.171619940789476,111.09801057894738,fog,750
760,13.157937514000002,110.98454784000002,fog,760
770,13.2485602125,111.176990375,fog,770
780,13.137466127941176,110.99790407352943,fog,780
790,13.149918803809523,111.01250473333333,fog,790
800,13.106201467741938,111.09639878225808,fog,800
810,13.129469091542287,111.08197511940308,fog,810
820,13.205747275000002,111.07940315000003,fog,820
830,13.153433558741261,111.09114845454543,fog,830
840,13.196398318681318,111.06438338461541,fog,840
850,13.183519576271188,111.14323822033901,fog,850
860,13.141762712612609,111.05334014414416,fog,860
870,13.094729029166666,111.01336725,fog,870
880,13.108805225,111.17091674999999,fog,880
890,13.063004203333334,111.02359713333333,fog,890
900,13.14079914411765,111.03504043137251,fog,900
910,13.02814613442623,111.1876741967213,fog,910
920,13.083854073076925,111.06700157692309,fog,920
930,13.166708934523808,111.0437400952381,fog,930
940,13.037978819512201,111.10496497560975,fog,940
950,13.1991625102564,111.00035175641027,fog,950
960,13.242539749999997,110.99028164285714,fog,960
970,13.100444657142857,110.9592780857143,fog,970
980,13.218551658333334,111.2139625,fog,980
990,13.106876347058826,111.05949466176469,fog,990
1,13.2902247,111.2195987826087,rrh,0
2,13.288756010526315,111.21905105263161,rrh,0
3,13.289965195238096,111.22002880952381,rrh,0
11,13.144890929999997,111.06665339999999,rrh,10
12,13.145852097368424,111.06690153947368,rrh,10
13,13.145252481034484,111.06642801724138,rrh,10
21,13.122795413725484,111.09983562745099,rrh,20
22,13.123089863636364,111.10033931818181,rrh,20
23,13.124109921276593,111.10130102127663,rrh,20
31,13.189280671428573,111.16393304761903,rrh,30
32,13.190675995833333,111.16327116666666,rrh,30
33,13.190556545833333,111.16398754166669,rrh,30
41,13.156934947826084,111.02866927536228,rrh,40
42,13.157026898000002,111.02973037999996,rrh,40
43,13.157953472916669,111.02848620833333,rrh,40
51,13.0556253,111.04827350000002,rrh,50
52,13.05504161875,111.04810268749998,rrh,50
53,13.055424004347826,111.0478983043478,rrh,50
61,13.037973247368422,111.17523142105263,rrh,60
62,13.037918616000002,111.17656075999999,rrh,60
63,13.036272135294118,111.176513,rrh,60
71,13.186622804761905,111.08774604761905,rrh,70
72,13.185355869444443,111.08670141666666,rrh,70
73,13.186331062499999,111.08869007500004,rrh,70
81,13.207910257894738,111.01304442105263,rrh,80
82,13.211454109677423,111.01214080645161,rrh,80
83,13.209532837500001,111.0139549375,rrh,80
91,13.193949729411765,111.24164655882352,rrh,90
92,13.193045313043473,111.24088756521739,rrh,90
93,13.1937460125,111.24182533333334,rrh,90
