bs,lon,lat
1,111.247626,13.1619713
2,111.209676,13.2880720
3,111.210788,13.2957068
4,111.203125,13.2908180
5,111.215505,13.2813450
6,111.204349,13.2837060
7,111.211910,13.2979160
8,111.216477,13.2877482
9,111.211679,13.2925392
10,111.211021,13.3027558
11,111.220175,13.2868442
12,111.228554,13.3068093
13,111.210953,13.2836460
14,111.231863,13.2815703
15,111.209130,13.2876990
16,111.209467,13.2983213
17,111.209855,13.2963008
18,111.202551,13.3017738
19,111.219989,13.2882332
20,111.211832,13.3017290
21,111.219171,13.2864562
22,111.220572,13.2937440
23,111.219160,13.2883662
24,111.204512,13.2970108
25,111.203758,13.2970718
26,111.207430,13.2968928
27,111.214648,13.2971460
28,111.219808,13.2992080
29,111.214916,13.2895432
30,111.204689,13.3035758
31,111.204751,13.2939698
32,111.220696,13.2986320
33,111.202314,13.2995368
34,111.209309,13.2966288
35,111.210063,13.2862640
36,111.225052,13.2886564
37,111.223869,13.2837594
38,111.219800,13.2875532
39,111.215728,13.2964210
40,111.212644,13.2868607
41,111.210800,13.3085298
42,111.209591,13.2932300
43,111.224830,13.3072743
44,111.202258,13.2979488
45,111.209993,13.3016748
46,111.209345,13.2932550
47,111.216616,13.2833322
48,111.208224,13.3027388
49,111.072424,13.1277257
50,111.081978,13.1268613
51,111.084869,13.1267653
52,111.078054,13.1288747
53,111.077899,13.1357651
54,111.084713,13.1271903
55,111.076345,13.1270147
56,111.084631,13.1230592
57,111.077362,13.1351091
58,111.076533,13.1337741
59,111.080320,13.1336231
60,111.077943,13.1329617
61,111.079538,13.1264017
62,111.082880,13.1281043
63,111.075440,13.1315997
64,111.078653,13.1318207
65,111.084550,13.1335716
66,111.083841,13.1329233
67,111.079422,13.1296557
68,111.076592,13.1292827
69,111.076321,13.1358291
70,110.981386,13.1861829
71,111.011160,13.1734743
72,111.005828,13.1713963
73,111.002701,13.1723343
74,110.994849,13.1840670
75,110.990042,13.1829603
76,110.992982,13.1815030
77,110.990269,13.1829863
78,111.001030,13.1906900
79,110.980399,13.1737475
80,111.017134,13.1775519
81,110.977071,13.1839815
82,111.014656,13.1815099
83,110.999755,13.1701272
84,110.976933,13.1844815
85,111.019254,13.1786589
86,110.988143,13.1868543
87,110.991223,13.1821033
88,110.996095,13.1779270
89,110.994216,13.1841580
90,110.993914,13.1841390
91,110.994500,13.1811370
92,110.992272,13.1818030
93,110.993358,13.1821160
94,110.991877,13.1839780
95,110.977784,13.1667698
96,110.999073,13.1805620
97,111.003368,13.1777091
98,110.990479,13.1831823
99,110.973693,13.1817282
100,110.984101,13.1890413
101,110.985614,13.1865373
102,110.978719,13.1834085
103,110.991623,13.1826030
104,111.011320,13.1815259
105,110.974051,13.1861571
106,110.973895,13.1855215
107,110.983309,13.0465767
108,110.964473,13.0677687
109,111.019920,13.0819727
110,111.015898,13.0591754
111,110.979287,13.0382766
112,110.985119,13.0447397
113,110.988869,13.0412963
114,110.992064,13.0431500
115,110.975408,13.0626930
116,110.987675,13.0452607
117,111.032921,13.0675426
118,111.009308,13.0457635
119,111.008680,13.0306647
120,110.959381,13.0574076
121,110.984213,13.0456777
122,111.021843,13.0698443
123,110.975475,13.0547740
124,111.020253,13.0575724
125,110.975809,13.0497851
126,111.030728,13.0655933
127,110.996814,13.0359920
128,111.017791,13.0628514
129,110.999264,13.0350220
130,110.964636,13.0767108
131,111.146400,13.1865356
132,111.178111,13.1871162
133,111.139344,13.1741246
134,111.114603,13.1756442
135,111.161095,13.1890252
136,111.153018,13.1825300
137,111.122966,13.1816917
138,111.141865,13.1788662
139,111.163377,13.1869842
140,111.139962,13.1738149
141,111.162642,13.1862432
142,111.161863,13.1859332
143,111.122014,13.1818787
144,111.177673,13.1860732
145,111.158086,13.1980778
146,111.125597,13.1729340
147,111.139231,13.1817486
148,111.160150,13.1920760
149,111.068687,13.1651499
150,111.068461,13.1650949
151,111.073370,13.1676335
152,111.070146,13.1702679
153,111.073682,13.1561133
154,111.067190,13.1651639
155,111.069410,13.1560118
156,111.069027,13.1597668
157,111.072717,13.1692845
158,111.070516,13.1691729
159,111.069994,13.1657749
160,111.075702,13.1668715
161,111.072412,13.1682305
